question,answer
"Who are the users that have an WETH/USDT balance of at least $1,000,000 on Uniswap?","select
address
from 
(select 
    address
    ,sum(balance_usd) balance_usd
         from wired_address_dataset 
         where b_type = 'DeFi' 
         and statistical_type = 'LP' 
         and asset = 'WETH/USDT' 
         and platform_name in ('Uniswap_v2','Uniswap_v3')
         and action = 'ALL' 
       group by address) t
where balance_usd>=1000000
GROUP BY address"
What are the addresses that are in the top 10% of all existing Ethereum accounts regarding the account's WETH/USDT balance on Uniswap?,"SELECT  address
FROM
(SELECT  address
  ,sum(balance_usd) balance_usd
FROM wired_address_dataset
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'WETH/USDT'
 group by  address) b
 where balance_usd > 0
ORDER BY balance_usd DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.1) FROM 
(SELECT  address
  ,sum(balance_usd) balance_usd
FROM wired_address_dataset
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'WETH/USDT'
 group by  address) b
where  balance_usd > 0)"
Could you help me find the addresses that are in the top 100 of all existing Ethereum accounts regarding the account's WETH/USDT balance on Uniswap?,"SELECT
address
FROM
(SELECT
 address
 ,sum(balance_usd) balance_usd
FROM
 wired_address_dataset 
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'WETH/USDT' 
 AND  balance_usd>0
 group by address) t
ORDER BY
 balance_usd DESC 
 LIMIT 100"
Could you list the top 200 addresses that have been the largest Lp in WETH/USDT liquidity pools on Uniswap?,"SELECT
address
FROM
(SELECT
 address
 ,sum(balance_usd) balance_usd
FROM
 wired_address_dataset 
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'WETH/USDT' 
 AND balance_usd>0
 group by address) t
ORDER BY
 balance_usd DESC 
 LIMIT 200"
"Who are the users that made trades on Uniswap, and has $100-$1,000 in number of WETH/USDT volume traded?","SELECT
address 
from
(SELECT
address
,sum(transaction_volume_usd) transaction_volume_usd
FROM
 wired_address_dataset 
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND asset = 'WETH/USDT' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
  AND action = 'ALL' 
  group by address) b
where  transaction_volume_usd between 100 and 1000
 group by address"
"How can I find users who made trades on Uniswap, and has $1 Billion in number of WETH/USDT volume traded?","SELECT
address 
from
(SELECT
address
,sum(transaction_volume_usd) transaction_volume_usd
FROM
 wired_address_dataset 
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND asset = 'WETH/USDT' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
  AND action = 'ALL' 
  group by address) b
where  transaction_volume_usd >= 1000000000
 group by address"
"Please help me find addresses that made trades on Uniswap, and is in the top 10% in number of WETH/USDT volume traded.","SELECT  address
FROM
(SELECT  address
FROM wired_address_dataset
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'WETH/USDT' 
 AND transaction_volume_usd > 0
ORDER BY transaction_volume_usd DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.1) FROM wired_address_dataset 
WHERE b_type = 'DeFi' 
AND statistical_type = 'LP' 
AND platform_name in ('Uniswap_v2','Uniswap_v3')
AND action = 'ALL' 
AND asset = 'WETH/USDT' 
AND transaction_volume_usd > 0)) a
GROUP BY address"
Could you send me the top 100 addresses that have been the fastest to enter WETH/USDT the liquidity pools on Uniswap?,"  SELECT
   address,
   first_tx_time
  FROM
   wired_address_dataset 
  WHERE
   b_type = 'DeFi' 
   AND statistical_type = 'LP' 
   AND platform_name  in ('Uniswap_v2','Uniswap_v3') 
   AND action = 'ALL' 
   AND asset = 'WETH/USDT' 
   AND first_tx_time IS NOT NULL 
   group by address,
   first_tx_time
   ORDER BY first_tx_time asc 
    LIMIT 100 "
Which addresses have an WETH/USDT activity count between 200 to 400 on Uniswap?,"select 
address
from
(SELECT
address
,sum(transaction_count) transaction_count
FROM wired_address_dataset 
WHERE b_type = 'DeFi' 
  AND statistical_type = 'LP' 
  AND asset = 'WETH/USDT' 
  AND platform_name in ('Uniswap_v2','Uniswap_v3') 
  AND action = 'ALL' 
  group by address) b
  where transaction_count between 200 and 400
 group by address"
Could you assist finding accounts with an WETH/USDT activity count between 400 to 619 on Uniswap?,"select 
address
from
(SELECT
address
,sum(transaction_count) transaction_count
FROM wired_address_dataset 
WHERE b_type = 'DeFi' 
  AND statistical_type = 'LP' 
  AND asset = 'WETH/USDT' 
  AND platform_name in ('Uniswap_v2','Uniswap_v3') 
  AND action = 'ALL' 
  group by address) b
  where   transaction_count between 400 and 619
 group by address"
"If I want to find some accounts with an WETH/USDT activity count of 0-10 on Uniswap, how to do that?","select 
address
from
(SELECT
address
,sum(transaction_count) transaction_count
FROM wired_address_dataset 
WHERE b_type = 'DeFi' 
  AND statistical_type = 'LP' 
  AND asset = 'WETH/USDT' 
  AND platform_name in ('Uniswap_v2','Uniswap_v3') 
  AND action = 'ALL' 
  group by address) b
  where  transaction_count between 0 and 10
  group by address"
"Can you find some addresses for me that made trades on Uniswap, and is in the top 0.1% in number of WETH/USDT volume traded?","select
        address
from
        (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                and action = 'ALL'
                and asset = 'WETH/USDT'
        group by
                address) b
where
        transaction_volume_usd > 0
order by transaction_volume_usd desc
limit (
select
                floor(COUNT(distinct address) * 0.001)
from
                 (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                        and action = 'ALL'
                        and asset = 'WETH/USDT'
                group by
                        address) a
where
        transaction_volume_usd > 0 ) "
"What do I need to do to find the addresses that made trades on Uniswap, and is in the top 1% in number of WETH/USDT volume traded?","select
        address
from
        (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                and action = 'ALL'
                and asset = 'WETH/USDT'
        group by
                address) b
where
        transaction_volume_usd > 0
order by transaction_volume_usd desc
limit (
select
                floor(COUNT(distinct address) * 0.01)
from
                 (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                        and action = 'ALL'
                        and asset = 'WETH/USDT'
                group by
                        address) a
where
        transaction_volume_usd > 0 ) "
"Where are the addresses that made trades on Uniswap, and is in the top 2.5% in number of WETH/USDT volume traded?","select
        address
from
        (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                and action = 'ALL'
                and asset = 'WETH/USDT'
        group by
                address) b
where
        transaction_volume_usd > 0
order by transaction_volume_usd desc
limit (
select
                floor(COUNT(distinct address) * 0.025)
from
                 (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                        and action = 'ALL'
                        and asset = 'WETH/USDT'
                group by
                        address) a
where
        transaction_volume_usd > 0 ) "
"Please help me find addresses that made trades on Uniswap, and is in the top 10% in number of WETH/USDT volume traded.","select
        address
from
        (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                and action = 'ALL'
                and asset = 'WETH/USDT'
        group by
                address) b
where
        transaction_volume_usd > 0
order by transaction_volume_usd desc
limit (
select
                floor(COUNT(distinct address) * 0.1)
from
                 (
        select
                address,
                sum(transaction_volume_usd) as transaction_volume_usd
        from
                wired_address_dataset
        where
                b_type = 'DeFi'
                and statistical_type = 'LP'
                and platform_name in ('Uniswap_v2', 'Uniswap_v3')
                        and action = 'ALL'
                        and asset = 'WETH/USDT'
                group by
                        address) a
where
        transaction_volume_usd > 0 ) "
"Among the accounts that have collected NFTs, who are the users that are in the top 10% in terms of the number of Web3 NFTs collected?","SELECT  address
FROM
(SELECT  address
FROM wired_address_dataset
WHERE
b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'ALL'
AND asset = 'ALL'
AND action = 'ALL'
AND balance_usd > 0
ORDER BY balance_count DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.1) FROM wired_address_dataset 
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'ALL'
AND asset = 'ALL'
AND action = 'ALL'
AND balance_usd > 0)) a
GROUP BY address"
"Who are the addresses which collected NFTs, and is in the top 2.5% in number of NFT collected on Web3 industry?","SELECT  address
FROM
(SELECT  address
FROM wired_address_dataset
WHERE
b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'ALL'
AND asset = 'ALL'
AND action = 'ALL'
AND balance_count > 0
ORDER BY balance_count DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.025) FROM wired_address_dataset 
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'ALL'
AND asset = 'ALL'
AND action = 'ALL'
AND balance_count > 0)) a
GROUP BY address"
"Which addresses have collected NFTs, and is in the top 1% in number of NFT collected on Web3 industry?","SELECT
  address
  FROM
  (SELECT  address
  FROM wired_address_dataset
  WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count > 0
  ORDER BY balance_count DESC
  LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.01) FROM wired_address_dataset 
  WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count > 0)) a
  GROUP BY address"
"Please help me find the accounts that collected NFTs, and is in the top 0.1% in number of NFT collected on Web3 industry?","SELECT
  address
  FROM
  (SELECT  address
  FROM wired_address_dataset
  WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count > 0
  ORDER BY balance_count DESC
  LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.001) FROM wired_address_dataset 
  WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count > 0)) a
  GROUP BY address"
"Could you show me the accounts that collected NFTs, and is in the top 100 in number of NFT collected on Web3 industry?","SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_usd > 0
ORDER BY
  balance_usd DESC
LIMIT 100"
Which accounts in the Web3 industry have an count of 0-10?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count BETWEEN 0 AND 10
  group by address"
Which addresses in the Web3 industry have an count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND balance_count >= 619
  group by address"
Which addresses have an NFT Recipient count between 200 to 400 on Web3 industry?,"SELECT
    address
  FROM
    wired_address_dataset
  WHERE
    b_type = 'web3'
    AND statistical_type = 'web3'
    AND platform_name = 'ALL'
    AND action = 'NFT Recipient'
    AND asset = 'ALL'
    AND balance_count BETWEEN 200 AND 400
  GROUP BY address"
Which accounts in the Web3 industry have an article count of 0-10?,"SELECT
    address
  FROM
    wired_address_dataset
  WHERE
    b_type = 'web3'
    AND statistical_type = 'web3'
    AND platform_name = 'ALL'
    AND action = 'wirte'
    AND asset = 'ALL'
    AND balance_count BETWEEN 0 AND 10
  GROUP BY address"
Can you show me the accounts in the Web3 industry have an article count of over 100?,"SELECT
    address
  FROM
    wired_address_dataset
  WHERE
    b_type = 'web3'
    AND statistical_type = 'web3'
    AND platform_name = 'ALL'
    AND action = 'wirte'
    AND asset = 'ALL'
    AND balance_count > 100
  GROUP BY address"
"Among the accounts that have written articles, which address are in the top 10% in terms of the number of articles published?","SELECT
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
  AND action = 'write'
  AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.1)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
         AND statistical_type = 'web3'
         AND platform_name = 'ALL'
         AND action = 'write'
         AND asset = 'ALL'
         AND balance_count > 0)) a
  GROUP BY address"
"Who are the addresses which wrote articles, and is in the top 2.5% in number of articles published on Mirror?","select
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.025)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
         AND statistical_type = 'web3'
         AND platform_name = 'Mirror'
         AND action = 'write'
         AND asset = 'ALL'
         AND balance_count > 0)) a
  GROUP BY address"
"Which addresses that wrote articles, and is in the top 1% in number of articles published on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.01)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
         AND statistical_type = 'web3'
         AND platform_name = 'Mirror'
         AND action = 'write'
         AND asset = 'ALL'
         AND balance_count > 0)) a
  GROUP BY address"
"Please help me find the accounts that wrote articles, and is in the top 0.1% in number of articles published on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'write'
  AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.001)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
         AND statistical_type = 'web3'
         AND platform_name = 'Mirror'
         AND action = 'write'
         AND asset = 'ALL'
         AND balance_count > 0)) a
  GROUP BY address"
Which accounts on Mirror have an NFT count of 1 on Mirror?,"SELECT 
address 
FROM wired_address_dataset 
WHERE b_type='web3' 
AND statistical_type='web3' 
AND platform_name='Mirror' 
AND action='ALL' 
AND asset='ALL' 
AND balance_count = 1 
GROUP BY address"
Can you show me the accounts on Mirror have an NFT count of over 100?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND balance_count > 100
GROUP BY address"
"Among the accounts that have collected NFTs, who are the users that are in the top 10% in terms of the number of web3 NFTs collected on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'Mirror'
AND action = 'ALL'
AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.1)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
       AND statistical_type = 'web3'
       AND platform_name = 'Mirror'
       AND action = 'ALL'
       AND asset = 'ALL'
       AND balance_count > 0)) a
  GROUP BY address"
"Who are the addresses which collected NFTs, and is in the top 2.5% in number of NFT collected on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'Mirror'
AND action = 'ALL'
AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.025)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
       AND statistical_type = 'web3'
       AND platform_name = 'Mirror'
       AND action = 'ALL'
       AND asset = 'ALL'
       AND balance_count > 0)) a
  GROUP BY address"
"Which addresses have collected NFTs, and is in the top 1% in number of NFT collected on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'Mirror'
AND action = 'ALL'
AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.01)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
       AND statistical_type = 'web3'
       AND platform_name = 'Mirror'
       AND action = 'ALL'
       AND asset = 'ALL'
       AND balance_count > 0)) a
  GROUP BY address"
"Please help me find the accounts that collected NFTs, and is in the top 0.1% in number of NFT collected on Mirror?","select 
address
FROM
(SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'Mirror'
AND action = 'ALL'
AND asset = 'ALL'
  AND balance_count > 0
order by balance_count desc
limit (SELECT floor(count(distinct address) * 0.001)
       FROM wired_address_dataset
       WHERE b_type = 'web3'
       AND statistical_type = 'web3'
       AND platform_name = 'Mirror'
       AND action = 'ALL'
       AND asset = 'ALL'
       AND balance_count > 0)) a
  GROUP BY address"
"Could you show me the accounts that collected NFTs, and is in the top 100 in number of NFT collected on Mirror?","SELECT
address
FROM wired_address_dataset
WHERE  b_type = 'web3'
AND statistical_type = 'web3'
AND platform_name = 'Mirror'
AND action = 'NFT Recipient'
AND asset = 'ALL'
AND balance_count>0
ORDER BY balance_count desc 
limit 100"
"Who has transfer NFTs, and is in the top 10% in volume of NFT transfer?","select 
address
from 
(select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Transfer'
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
 floor(COUNT(distinct address) * 0.1)
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Transfer' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Which users transfer NFTs and are among the top 2.5% in terms of the number of NFT transfer?,"select 
address
from 
(select
 address
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Transfer'
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
floor( COUNT(distinct address) * 0.025)
from
 wired_address_dataset
where
 b_type = 'nft'
 and statistical_type = 'nft'
 and platform_name = 'ALLNET'
 and asset = 'ALL'
 and action = 'Transfer' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Which account has an NFT burning activity ranging from 200 to 400?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND action = 'Burn'
  AND transaction_count between 200 AND 400
group by address"
Who is the user with an NFT burning activity count between 400 to 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND action = 'Burn'
  AND transaction_count between 400 AND 619
group by address"
Can you provide the name of the account with NFT burning activity at least 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND action = 'Burn'
  AND transaction_count >=619
group by address"
Which account has an NFT burning activity ranging from 0 to 10?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND action = 'Burn'
  AND transaction_count between 0 AND 10
group by address"
Which account has a CryptoPunks sale activity count ranging from 200 to 400?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Sale'
  AND transaction_count between 200 and 400
  GROUP BY address"
Who is the user with a CryptoPunks sale activity count between 400 to 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Sale'
  AND transaction_count between 400 and 619
  GROUP BY address"
Can you provide the name of the account with a CryptoPunks sale activity count of at least 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Sale'
  AND transaction_count >= 619
  GROUP BY address"
Which account has a CryptoPunks sale activity count ranging from 0 to 10?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Sale'
  AND transaction_count between 0 and 10
  GROUP BY address"
Which account has a CryptoPunks transfer activity count ranging from 200 to 400?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Transfer'
  AND transaction_count between 200 AND 400
  GROUP BY address"
Who is the user with a CryptoPunks transfer activity count between 400 to 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Transfer'
  AND transaction_count between 400 AND 619
  GROUP BY address"
Can you provide the name of the account with a CryptoPunks transfer activity count of at least 619?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Transfer'
  AND transaction_count >=619
  GROUP BY address"
Which account has a CryptoPunks transfer activity count ranging from 0 to 10?,"SELECT
address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'CryptoPunks'
  AND action = 'Transfer'
  AND transaction_count between 0 AND 10
  GROUP BY address"
"Who has minted NFTs, and is in the top 10% in volume of NFT minted?","select 
address
from 
(select
 address
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Mint' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
 floor(COUNT(distinct address) * 0.1)
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Mint' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Which users have an NFT minting Volume count of over 200?,"SELECT 
address
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALLNET' 
 AND asset = 'CryptoPunks' 
 AND action = 'Mint' 
 AND transaction_volume_usd  > 200
 GROUP BY address"
Which addresses have an NFT minting Volume count of 1-2?,"SELECT 
address
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALLNET' 
 AND asset = 'CryptoPunks' 
 AND action = 'Mint' 
 AND transaction_volume_usd  between 0 and 2
 GROUP BY address"
Who are the users who have bought CryptoPunks and rank in the top 10% in terms of the volume of CryptoPunks sale?,"select 
address
from 
(select
 address
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Sale' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
 floor(COUNT(distinct address) * 0.1)
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Sale' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Who has a CryptoPunks sale volume count of over 200?,"SELECT address
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALLNET' 
 AND asset = 'CryptoPunks' 
 AND action = 'Sale' 
 AND transaction_volume_usd  > 200
 GROUP BY address"
Who are the users who have minted CryptoPunks and rank in the top 10% in terms of the volume of CryptoPunks minted?,"select 
address
from 
(select
 address
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Mint' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
 floor(COUNT(distinct address) * 0.1)
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Mint' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Who has a CryptoPunks minting volume count of over 200?,"SELECT address
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALLNET' 
 AND asset = 'CryptoPunks' 
 AND ACTION = 'Mint' 
 AND transaction_volume_usd > 200
 group by address"
Who are the users who have transferred CryptoPunks and rank in the top 10% in terms of the volume of CryptoPunks transfer?,"select 
address
from 
(select
 address
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Transfer' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0
order by
 transaction_volume_usd desc
limit (
select
 floor(COUNT(distinct address) * 0.1)
from
 wired_address_dataset
where
b_type = 'nft' 
AND statistical_type = 'nft' 
AND platform_name = 'ALLNET' 
AND action = 'Transfer' 
AND asset = 'CryptoPunks' 
 and transaction_volume_usd>0)) a
 GROUP by address"
Who has a CryptoPunks transfer volume count of over 200?,"SELECT address
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALLNET' 
 AND asset = 'CryptoPunks' 
 AND action = 'Transfer' 
 AND transaction_volume_usd  > 200
 group by address"
Which account has an NFT buying activity ranging from 200 to 400 on all Marketplaces?,"SELECT
address 
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALL' 
 AND action = 'Buy' 
 AND asset = 'ALL' 
 AND transaction_count between 200 AND 400
 group by address"
Can you provide the name of the account with NFT buying activity at least 619 on all Marketplaces?,"SELECT
address 
FROM
 wired_address_dataset 
WHERE
 b_type = 'nft' 
 AND statistical_type = 'nft' 
 AND platform_name = 'ALL' 
 AND action = 'Buy' 
 AND asset = 'ALL' 
 AND transaction_count >=619
 group by address"
