label_name,desc
 Uniswap Medium LP Activity,"An account with a LP activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
ETH L1-term Holder,A holder who has an ETH balance for 1 day.
ETH Long-term Holder,An active holder who has transacted with token and has a positive ETH balance for more than 155 days.
ETH Short-term Holder,An active holder who has transacted with token and has a positive ETH balance for less than 155 days.
ETH Balance L1,"Has an ETH balance of $100-1,000."
ETH Millionaire,"Has an ETH balance of at least $1,000,000."
ETH Billionaire,"Has an ETH balance of at least $1,000,000,000."
ETH Highest Balance,In the top 10% of all existing Ethereum accounts regarding the account's ETH balance.
ETH Whale,In the top 100 of all existing Ethereum accounts regarding the account's ETH balance.
Uniswap ETH-related LP Balance L1,"Has an ETH-related LP balance of $100-1,000 on Uniswap."
Uniswap ETH-related LP Millionaire,"Has an ETH-related LP balance of at least US$1,000,000 on Uniswap."
Uniswap ETH-related LP Billionaire,"Has an ETH-related LP  balance of at least US$1,000,000,000 on Uniswap."
Uniswap ETH-related LP Highest Balance,In the top 10% of all existing Ethereum accounts regarding the account's ETH-related LP  balance on Uniswap.
Uniswap ETH-related LP Whale,In the top 100 of all existing Ethereum accounts regarding the account's ETH-related LP  balance on Uniswap.
Uniswap ETH-related LP Heavy Lp,The top 200 addresses that have been the largest Lp in ETH-related LP liquidity pools on Uniswap.
Balancer ETH-related LP Balance L1,"Has an ETH-related LP balance of $100-1,000 on Balancer."
Balancer ETH-related LP Millionaire,"Has an ETH-related LP balance of at least US$1,000,000 on Balancer."
Balancer ETH-related LP Billionaire,"Has an ETH-related LP balance of at least US$1,000,000,000 on Balancer."
Balancer ETH-related LP Highest Balance,In the top 10% of all existing Ethereum accounts regarding the account's ETH-related LP balance on Balancer.
Balancer ETH-related LP Whale,In the top 100 of all existing Ethereum accounts regarding the account's ETH-related LP balance on Balancer.
Balancer ETH-related Heavy Lp,The top 200 addresses that have been the largest Lp in ETH-related LP liquidity pools on Balancer.
Sushiswap ETH-related LP Balance L1,"Has an ETH-related LP balance of $100-1,000 on Sushiswap."
Sushiswap ETH-related LP Millionaire,"Has an ETH-related LP balance of at least US$1,000,000 on Sushiswap."
Sushiswap ETH-related LP Billionaire,"Has an ETH-related LP balance of at least US$1,000,000,000 on Sushiswap."
Sushiswap ETH-related LP Highest Balance,In the top 10% of all existing Ethereum accounts regarding the account's ETH-related LP balance on Sushiswap.
Sushiswap ETH-related LP Whale,In the top 100 of all existing Ethereum accounts regarding the account's ETH-related LP balance on Sushiswap.
Sushiswap ETH-related LP Heavy Lp,The top 200 addresses that have been the largest Lp in ETH-related LP liquidity pools on Sushiswap.
ETH Vol L1,"Has an ETH volume of $100-$1,000."
ETH Million Trader,Has an ETH volume of at least 1 million.
ETH Billion Trader,Has an ETH volume of at least 1 Billion.
ETH Medium Trader,Top 10% of traders based on volume of ETH trades.
ETH Heavy Trader,Top 2.5% of traders based on volume of ETH trades.
ETH Elite Trader,Top 1%of traders based on volume of ETH trades.
ETH Legendary Trader,Top 0.1% of traders based on volume of ETH trades.
ETH Activity L1,"An account with an ETH activity count of 0-10, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
ETH Highest Activity,"An account with an ETH activity count of at least 619, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
ETH High Activity,"An account with an ETH activity count between 400 to 619, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
ETH Medium Activity,"An account with an ETH activity count between 200 to 400, where an activity is defined by outgoing transactions or transactions that contain outgoing token transfers related to the account."
ETH Dex Vol L1,"Has an ETH trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Million Dex Trader,Has an ETH trades volume of at least 1 million on all Decentralized Exchanges.
ETH Billion Dex Trader,Has an ETH trades volume of at least 1 Billion on all Decentralized Exchanges.
ETH Medium Dex Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Heavy Dex Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Elite Dex Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Legendary Dex Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Dex Vol L1,"Has an ETH trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Million Dex Trader,Has an ETH trades volume of at least 1 million on all Decentralized Exchanges.
ETH Billion Dex Trader,Has an ETH trades volume of at least 1 Billion on all Decentralized Exchanges.
ETH Medium Dex Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Heavy Dex Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Elite Dex Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Legendary Dex Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Dex Vol L1,"Has an ETH trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Million Dex Trader,Has an ETH trades volume of at least 1 million on all Decentralized Exchanges.
ETH Billion Dex Trader,Has an ETH trades volume of at least 1 Billion on all Decentralized Exchanges.
ETH Medium Dex Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Heavy Dex Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Elite Dex Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Legendary Dex Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH trades.
ETH Swap Vol L1,"Has an ETH Swap trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Million Swap Trader,Has an ETH Swap trades volume of at least 1 million on all Decentralized Exchanges.
ETH Billion Swap Trader,Has an ETH Swap trades volume of at least 1 Billion on all Decentralized Exchanges.
ETH Medium Swap Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH Swap trades.
ETH Heavy Swap Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH Swap trades.
ETH Elite Swap Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH Swap trades.
ETH Legendary Swap Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH Swap trades.
ETH Swap Vol L1,"Has an ETH LP trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Million Swap Trader,Has an ETH LP trades volume of at least 1 million on all Decentralized Exchanges.
ETH Billion Swap Trader,Has an ETH LP trades volume of at least 1 Billion on all Decentralized Exchanges.
ETH Medium LP Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH LP trades.
ETH Heavy LP Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH LP trades.
ETH Elite LP Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH LP trades.
ETH Legendary LP Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH LP trades.
ETH StakeLP Vol L1,"Has an ETH StakeLP trades volume of $100-$1,000 on all Decentralized Exchanges."
ETH Medium StakeLP Trader,Top 10% of traders on all Decentralized Exchanges based on volume of ETH StakeLP trades.
ETH Heavy StakeLP Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of ETH StakeLP trades.
ETH Uniswap Elite StakeLP Trader,Top 1%of traders on all Decentralized Exchanges based on volume of ETH StakeLP trades.
ETH Uniswap Legendary StakeLP Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of ETH StakeLP trades.
Uniswap ETH Vol L1,"Made trades on Uniswap, and has $100-$1,000 in number of ETH volume traded."
Uniswap ETH Million Trader,"Made trades on Uniswap, and has at least 1 million in number of ETH volume traded."
Uniswap ETH Billion Trader,"Made trades on Uniswap, and has at least 1 Billion in number of ETH volume traded."
Uniswap ETH Medium Trader,"Made trades on Uniswap, and is in the top 10% in number of ETH volume traded."
Uniswap ETH Heavy Trader,"Made trades on Uniswap, and is in the top 2.5% in number of ETH volume traded."
Uniswap ETH Elite Trader,"Made trades on Uniswap, and is in the top 1% in number of ETH volume traded."
Uniswap ETH Lengendary Trader,"Made trades on Uniswap, and is in the top 0.1% in number of ETH volume traded."
Uniswap ETH Vol L1,"Made trades on Uniswap, and has $100-$1,000 in number of ETH volume traded."
Uniswap ETH Million Trader,"Made trades on Uniswap, and has at least 1 million in number of ETH volume traded."
Uniswap ETH Billion Trader,"Made trades on Uniswap, and has at least 1 Billion in number of ETH volume traded."
Uniswap ETH Medium Trader,"Made trades on Uniswap, and is in the top 10% in number of ETH volume traded."
Uniswap ETH Heavy Trader,"Made trades on Uniswap, and is in the top 2.5% in number of ETH volume traded."
Uniswap ETH Elite Trader,"Made trades on Uniswap, and is in the top 1% in number of ETH volume traded."
Uniswap ETH Lengendary Trader,"Made trades on Uniswap, and is in the top 0.1% in number of ETH volume traded."
Uniswap ETH Swap Vol L1,"Made trades on Uniswap, and has $100-$1,000 in number of ETH swap volume traded."
Uniswap ETH Million Swap Trader,"Made trades on Uniswap, and has at least 1 million in number of ETH swap volume traded."
Uniswap ETH Billion Swap Trader,"Made trades on Uniswap, and has at least 1 Billion in number of ETH swap volume traded."
Uniswap ETH Medium Swap Trader,"Made trades on Uniswap, and is in the top 10% in number of ETH swap volume traded."
Uniswap ETH Heavy Swap Trader,"Made trades on Uniswap, and is in the top 2.5% in number of ETH swap volume traded."
Uniswap ETH Elite Swap Trader,"Made trades on Uniswap, and is in the top 1% in number of ETH swap volume traded."
Uniswap ETH Legendary Swap Trader,"Made trades on Uniswap, and is in the top 0.1% in number of ETH swap volume traded."
Uniswap ETH LP Vol L1,"Made trades on Uniswap, and has $100-$1,000 in number of ETH LP volume traded."
Uniswap ETH Million LP Trader,"Made trades on Uniswap, and has at least 1 million in number of ETH LP volume traded."
Uniswap ETH Billion Swap Trader,"Made trades on Uniswap, and has at least 1 Billion in number of ETH LP volume traded."
Uniswap ETH Medium LP Trader,"Made trades on Uniswap, and is in the top 10% in number of ETH LP volume traded."
Uniswap ETH Heavy LP Trader,"Made trades on Uniswap, and is in the top 2.5% in number of ETH LP volume traded."
Uniswap ETH Elite LP Trader,"Made trades on Uniswap, and is in the top 1% in number of ETH LP volume traded."
Uniswap ETH Legendary LP Trader,"Made trades on Uniswap, and is in the top 0.1% in number of ETH LP volume traded."
Balancer ETH Vol L1,"Made trades on Balancer, and has $100-$1,000 in number of ETH volume traded."
Balancer ETH Million Trader,"Made trades on Balancer, and has at least 1 million in number of ETH volume traded."
Balancer ETH Billion Trader,"Made trades on Balancer, and has at least 1 Billion in number of ETH volume traded."
Balancer ETH Medium Trader,"Made trades on Balancer, and is in the top 10% in number of ETH volume traded."
Balancer ETH Heavy Trader,"Made trades on Balancer, and is in the top 2.5% in number of ETH volume traded."
Balancer ETH Elite Trader,"Made trades on Balancer, and is in the top 1% in number of ETH volume traded."
Balancer ETH Legendary Trader,"Made trades on Balancer, and is in the top 0.1% in number of ETH volume traded."
Balancer ETH Vol L1,"Made trades on Balancer, and has $100-$1,000 in number of ETH volume traded."
Balancer ETH Million Trader,"Made trades on Balancer, and has at least 1 million in number of ETH volume traded."
Balancer ETH Billion Trader,"Made trades on Balancer, and has at least 1 Billion in number of ETH volume traded."
Balancer ETH Medium Trader,"Made trades on Balancer, and is in the top 10% in number of ETH volume traded."
Balancer ETH Heavy Trader,"Made trades on Balancer, and is in the top 2.5% in number of ETH volume traded."
Balancer ETH Elite Trader,"Made trades on Balancer, and is in the top 1% in number of ETH volume traded."
Balancer ETH Legendary Trader,"Made trades on Balancer, and is in the top 0.1% in number of ETH volume traded."
Balancer ETH Swap Vol L1,"Made trades on Balancer, and has $100-$1,000 in number of ETH swap volume traded."
Balancer ETH Million Swap Trader,"Made trades on Balancer, and has at least 1 million in number of ETH swap volume traded."
Balancer ETH Billion Swap Trader,"Made trades on Balancer, and has at least 1 Billion in number of ETH swap volume traded."
Balancer ETH Medium Swap Trader,"Made trades on Balancer, and is in the top 10% in number of ETH swap volume traded."
Balancer ETH Heavy Swap Trader,"Made trades on Balancer, and is in the top 2.5% in number of ETH swap volume traded."
Balancer ETH Elite Swap Trader,"Made trades on Balancer, and is in the top 1% in number of ETH swap volume traded."
Balancer ETH Legendary Swap Trader,"Made trades on Balancer, and is in the top 0.1% in number of ETH swap volume traded."
Balancer ETH  LP Vol L1,"Made trades on Balancer, and has $100-$1,000 in number of ETH LP volume traded."
Balancer ETH Million LP Trader,"Made trades on Balancer, and has at least 1 million in number of ETH LP volume traded."
Balancer ETH Billion LP Trader,"Made trades on Balancer, and has at least 1 Billion in number of ETH LP volume traded."
Balancer ETH  Medium LP Trader,"Made trades on Balancer, and is in the top 10% in number of ETH LP volume traded."
Balancer ETH  Heavy LP Trader,"Made trades on Balancer, and is in the top 2.5% in number of ETH LP volume traded."
Balancer ETH  Elite LP Trader,"Made trades on Balancer, and is in the top 1% in number of ETH LP volume traded."
Balancer ETH  Legendary LP Trader,"Made trades on Balancer, and is in the top 0.1% in number of ETH LP volume traded."
Balancer ETH StakeLP Vol L1,"Made trades on Balancer, and is $100-$1,000 in number of ETH StakeLP volume traded."
Balancer ETH  Medium Stak LP Trader,"Made trades on Balancer, and is in the top 10% in number of ETH StakeLP volume traded."
Balancer ETH  Heavy StakeLP Trader,"Made trades on Balancer, and is in the top 2.5% in number of ETH StakeLP volume traded."
Balancer ETH  Elite StakeLP Trader,"Made trades on Balancer, and is in the top 1% in number of ETH StakeLP volume traded."
Balancer ETH  Legendary StakeLP Trader,"Made trades on Balancer, and is in the top 0.1% in number of ETH StakeLP volume traded."
Sushiswap ETH Vol L1,"Made trades on Sushhaswap, and has $100-$1,000 in number of ETH volume traded."
Sushiswap ETH Million Trader,"Made trades on Sushhaswap, and has at least 1 million in number of ETH volume traded."
Sushiswap ETH Billion Trader,"Made trades on Sushhaswap, and has at least 1 Billion in number of ETH volume traded."
Sushiswap ETH Medium Trader,"Made trades on Sushiswap, and is in the top 10% in number of ETH volume traded."
Sushiswap ETH Heavy Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of ETH volume traded."
Sushiswap ETH Elite Trader,"Made trades on Sushiswap, and is in the top 1% in number of ETH volume traded."
Sushiswap ETH  Legendary Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of ETH volume traded."
Sushiswap ETH Vol L1,"Made trades on Sushhaswap, and has $100-$1,000 in number of ETH volume traded."
Sushiswap ETH Million Trader,"Made trades on Sushhaswap, and has at least 1 million in number of ETH volume traded."
Sushiswap ETH Billion Trader,"Made trades on Sushhaswap, and has at least 1 Billion in number of ETH volume traded."
Sushiswap ETH Medium Trader,"Made trades on Sushiswap, and is in the top 10% in number of ETH volume traded."
Sushiswap ETH Heavy Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of ETH volume traded."
Sushiswap ETH Elite Trader,"Made trades on Sushiswap, and is in the top 1% in number of ETH volume traded."
Sushiswap ETH  Legendary Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of ETH volume traded."
Sushiswap ETH Swap Vol L1,"Made trades on Sushhaswap, and has $100-$1,000 in number of ETH swap volume traded."
Sushiswap ETH Million Swap Trader,"Made trades on Sushhaswap, and has at least 1 million in number of ETH swap volume traded."
Sushiswap ETH Billion Swap Trader,"Made trades on Sushhaswap, and has at least 1 Billion in number of ETH swap volume traded."
Sushiswap ETH Medium Swap Trader,"Made trades on Sushiswap, and is in the top10% in number of ETH swap volume traded."
Sushiswap ETH Heavy Swap Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of ETH swap volume traded."
Sushiswap ETH Elite Swap Trader,"Made trades on Sushiswap, and is in the top 1% in number of ETH swap volume traded."
Sushiswap ETH Legendary Swap Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of ETH swap volume traded."
Sushiswap ETH LP Vol L1,"Made trades on Sushhaswap, and has $100-$1,000 in number of ETH LP volume traded."
Sushiswap ETH Million LP Trader,"Made trades on Sushhaswap, and has at least 1 million in number of ETH LP volume traded."
Sushiswap ETH Billion LP Trader,"Made trades on Sushhaswap, and has at least 1 Billion in number of ETH LP volume traded."
Sushiswap ETH Medium LP Trader,"Made trades on Sushiswap, and is in the top 10% in number of ETH LP volume traded."
Sushiswap ETH Heavy LP Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of ETH LP volume traded."
Sushiswap ETH Elite LP Trader,"Made trades on Sushiswap, and is in the top 1% in number of ETH LP volume traded."
Sushiswap ETH Legendary LP Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of ETH LP volume traded."
Sushiswap ETH  StakeLP Vol L1,"Made trades on Sushiswap, and is $100-$1,000 in number of ETH StakeLP volume traded."
Sushiswap ETH  Medium StakeLP Trader,"Made trades on Sushiswap, and is in the top 10% in number of ETH StakeLP volume traded."
Sushiswap ETH  Heavy StakeLP Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of ETH StakeLP volume traded."
Sushiswap ETH  Elite StakeLP Trader,"Made trades on Sushiswap, and is in the top 1% in number of ETH StakeLP volume traded."
Sushiswap ETH  Legendary StakeLP Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of ETH StakeLP volume traded."
0x ETH Vol L1,"Made trades on 0x, and has $100-$1,000 in number of ETH volume traded."
0x ETH Million Trader,"Made trades on 0x, and has at least 1 million in number of ETH volume traded."
0x ETH Billion Trader,"Made trades on 0x, and has at least 1 Billion in number of ETH volume traded."
0x ETH Medium Trader,"Made trades on 0x, and is in the top 10% in number of ETH volume traded."
0x ETH Heavy Trader,"Made trades on 0x, and is in the top 2.5% in number of ETH volume traded."
0x ETH Elite Trader,"Made trades on 0x, and is in the top 1% in number of ETH volume traded."
0x ETH Legendary Trader,"Made trades on 0x, and is in the top 0.1% in number of ETH volume traded."
0x ETH Vol L1,"Made trades on 0x, and has $100-$1,000 in number of ETH volume traded."
0x ETH Million Trader,"Made trades on 0x, and has at least 1 million in number of ETH volume traded."
0x ETH Billion Trader,"Made trades on 0x, and has at least 1 Billion in number of ETH volume traded."
0x ETH Medium Trader,"Made trades on 0x, and is in the top 10% in number of ETH volume traded."
0x ETH Heavy Trader,"Made trades on 0x, and is in the top 2.5% in number of ETH volume traded."
0x ETH Elite Trader,"Made trades on 0x, and is in the top 1% in number of ETH volume traded."
0x ETH Legendary Trader,"Made trades on 0x, and is in the top 0.1% in number of ETH volume traded."
0x ETH Swap Vol L1,"Made trades on 0x, and has $100-$1,000 in number of ETH swap volume traded."
0x ETH Million Swap Trader,"Made trades on 0x, and has at least 1 million in number of ETH swap volume traded."
0x ETH Billion Swap Trader,"Made trades on 0x, and has at least 1 Billion in number of ETH swap volume traded."
0x ETH Medium Swap Trader,"Made trades on 0x, and is in the top 10% in number of ETH swap volume traded."
0x ETH Heavy Swap Trader,"Made trades on 0x, and is in the top 2.5% in number of ETH swap volume traded."
0x ETH Elite Swap Trader,"Made trades on 0x, and is in the top 1% in number of ETH swap volume traded."
0x ETH Legendary Swap Trader,"Made trades on 0x, and is in the top 0.1% in number of ETH swap volume traded."
ETH DEX Activity L1,"An account with an ETH activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest DEX Activity,"An account with an ETH activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High DEX Activity,"An account with an ETH activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium DEX Activity,"An account with an ETH activity count between 200 to 400 on all platforms, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH DEX Activity L1,"An account with an ETH activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest DEX Activity,"An account with an ETH activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High DEX Activity,"An account with an ETH activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium DEX Activity,"An account with an ETH activity count between 200 to 400 on all platforms, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH DEX Activity L1,"An account with an ETH activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest DEX Activity,"An account with an ETH activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High DEX Activity,"An account with an ETH activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium DEX Activity,"An account with an ETH activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Swap Activity L1,"An account with an ETH Swap activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest  Swap Activity,"An account with an ETH Swap activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High Swap Activity,"An account with an ETH Swap activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium Swap Activity,"An account with an ETH Swap activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH LP Activity L1,"An account with an ETH LP activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest LP Activity,"An account with an ETH LP activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High LP Activity,"An account with an ETH LP activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium LP Activity,"An account with an ETH LP activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH StakeLP Activity L1,"An account with an ETH StakeLP activity count of 0-10 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Highest StakeLP Activity,"An account with an ETH StakeLP activity count of at least 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH High StakeLP Activity,"An account with an ETH StakeLP activity count between 400 to 619 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
ETH Medium StakeLP Activity,"An account with an ETH StakeLP activity count between 200 to 400 on all Decentralized Exchanges, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Activity L1,"An account with an ETH activity count of 0-10 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Highest Activity,"An account with an ETH activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  High Activity,"An account with an ETH activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Medium Activity,"An account with an ETH activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Activity L1,"An account with an ETH activity count of 0-10 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Highest Activity,"An account with an ETH activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  High Activity,"An account with an ETH activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Medium Activity,"An account with an ETH activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Swap Activity L1,"An account with an ETH swap activity count of 0-10 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Highest Swap Activity,"An account with an ETH swap activity count of at least 619 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  High Swap Activity,"An account with an ETH swap activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Medium Swap Activity,"An account with an ETH swap activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Uniswap ETH  LP Activity L1,"An account with an ETH LP activity count of 0-10 on Uniswap, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  Highest LP Activity,"An account with an ETH LP activity count of at least 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Uniswap ETH  High LP Activity,"An account with an ETH LP activity count between 400 to 619 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Uniswap ETH  Medium LP Activity,"An account with an ETH LP activity count between 200 to 400 on Uniswap, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Balancer ETH Activity L1,"An account with an ETH activity count of 0-10 on Balancer, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH Highest Activity,"An account with an ETH activity count of at least 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH High Activity,"An account with an ETH activity count between 400 to 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Balancer ETH Medium Activity,"An account with an ETH activity count between 200 to 400 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Uniswap ETH Activity L1,"An account with an ETH activity count of 0-10 on Balancer, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH Highest Activity,"An account with an ETH activity count of at least 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH High Activity,"An account with an ETH activity count between 400 to 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Balancer ETH Medium Activity,"An account with an ETH activity count between 200 to 400 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Balancer ETH Swap Activity L1,"An account with an ETH swap activity count of 0-10 on Balancer, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH Highest Swap Activity,"An account with an ETH swap activity count of at least 619 on Balancer, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH High Swap Activity,"An account with an ETH swap activity count between 400 to 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH Medium Swap Activity,"An account with an ETH swap activity count between 200 to 400 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
Balancer ETH LP Activity L1,"An account with an ETH LP activity count of 0-10 on Balancer, where an activity is defined by transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH Highest LP Activity,"An account with an ETH LP activity count of at least 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account."
Balancer ETH High LP Activity,"An account with an ETH LP activity count between 400 to 619 on Balancer, where an activity is defined by outgoing transactions or transactions that contain incoming or outgoing token transfers related to the account"
